iter	RMSE
0	2.965897965
1	2.965608197
2	2.965240111
3	2.964836883
4	2.964556645
5	2.964096661
6	2.963746395
7	2.963536823
8	2.963294493
9	2.962868701
10	2.962619156
11	2.962327377
12	2.962108325
13	2.961666012
14	2.961355033
15	2.961028702
16	2.960935385
17	2.960686219
18	2.960486872
19	2.960301824
20	2.960102247
21	2.959939628
22	2.959816764
23	2.959573035
24	2.959475996
25	2.959380395
26	2.959232116
27	2.959076656
28	2.958898119
29	2.958688356
30	2.958522488
31	2.958418574
32	2.958246176
33	2.95806743
34	2.957820576
35	2.957598887
36	2.95735596
37	2.957222364
38	2.956839482
39	2.956641708
40	2.956510041
41	2.956458565
42	2.95623666
43	2.956149333
44	2.956039501
45	2.955875244
46	2.955805214
47	2.955743774
48	2.955565149
49	2.955483636
50	2.955370069
51	2.955187127
52	2.955136157
53	2.955047507
54	2.954994229
55	2.954861513
56	2.954790661
57	2.954729889
58	2.954626387
59	2.954517303
60	2.954348586
61	2.95419355
62	2.954149801
63	2.954034766
64	2.953980863
65	2.95394237
66	2.953766723
67	2.953684955
68	2.953631872
69	2.95359669
70	2.953546512
71	2.953539613
72	2.953487589
73	2.95344041
74	2.953370821
75	2.953305795
76	2.953182092
77	2.953154375
78	2.953086827
79	2.953010235
80	2.953005006
81	2.95298062
82	2.952920854
83	2.952838814
84	2.952692552
85	2.952631634
86	2.952567501
87	2.952512635
88	2.952450037
89	2.952400594
90	2.952398056
91	2.952388
92	2.952277156
93	2.952185981
94	2.952177729
95	2.952106881
96	2.952056826
97	2.951941531
98	2.951895113
99	2.951783504
100	2.951709206
101	2.951692833
102	2.951686234
103	2.951678973
104	2.951562331
105	2.951546893
106	2.951426579
107	2.951369465
108	2.951268556
109	2.951221491
110	2.951210927
111	2.95120431
112	2.951176187
113	2.951092264
114	2.951092014
115	2.951058676
116	2.950997382
117	2.950932787
118	2.950880636
119	2.950749885
120	2.950652707
121	2.950602661
122	2.950567855
123	2.950552317
124	2.95050735
125	2.950418414
126	2.950384482
127	2.950321166
128	2.950184852
129	2.950042647
130	2.950011504
131	2.949983115
132	2.949897847
133	2.949818205
134	2.949768972
135	2.949673884
136	2.949631012
137	2.949554017
138	2.949509616
139	2.949396012
140	2.949384632
141	2.949270448
142	2.949254188
143	2.94921003
144	2.949121444
145	2.949121219
146	2.94909769
147	2.949029086
148	2.948982283
149	2.948860171
150	2.948783576
151	2.948694685
152	2.948683986
153	2.948598569
154	2.948507619
155	2.948471342
156	2.948403288
157	2.948350323
158	2.948290001
159	2.948236442
160	2.948148813
161	2.94809314
162	2.948039166
163	2.947164	2.9164	2.947165	2.9165	2.947864388
166	2.947798745
167	2.947748121
168	2.947629076
169	2.947627979
170	2.947595581
171	2.947451499
172	2.947391815
173	2.947341847
174	2.947272088
175	2.947222489
176	2.947153705
177	2.947082954
178	2.947005309
179	2.946963391
180	2.946901643
181	2.946853799
182	2.946790946
183	2.946664684
184	2.9466129
185	2.946555566
186	2.946474291
187	2.946317616
188	2.946270029
189	2.946202425
190	2.94609865
191	2.946045936
192	2.945940687
193	2.945855296
194	2.945796467
195	2.945748344
196	2.94569074
197	2.945611699
198	2.945576408
199	2.945502954
200	2.945413985
201	2.945368
202	2.945320622
203	2.94527119
204	2.945204336
205	2.945110032
206	2.9450717207207	2.9450234208208	2.9449416209209	2.9449131210	2.941291108
211	2.941242404
212	2.941183958
213213	2.9446078214	2.941093402
215215	2.9445130216	2.941036309
217	2.940947541
218	2.940901541
219	2.940819779
220	2.940778244
221	2.940739264
222	2.940680728
223	2.940545341
224	2.940475616
225	2.9404627
226	2.940405002
227	2.940353159
228	2.940281258
229	2.940254823
230	2.940209529
231	2.940124073
232	2.940099962
233	2.940063995
234	2.939981555
235	2.93990415
236	2.939863561
237	2.939787346
238	2.93974783
239	2.939687731
240	2.939605714
241	2.93954096
242	2.93950472
243	2.939457023
244	2.939425111
245	2.93941094
246	2.939371979
247	2.939326854
248	2.939195668
249	2.939116595
250	2.939080947
251	2.939043968
252	2.939003012
253	2.938946056
254	2.938839693
255	2.938805919
256	2.938762815
257	2.938716711
258	2.938694657
259	2.938639074
260	2.938596231
261	2.938564256
262	2.938522175
263	2.938457608
264	2.938419174
265	2.938368278
266	2.938336014
267	2.938312255
268	2.938262644
269	2.938180161
270	2.938117456
271	2.938076868
272	2.93803514
273	2.938015495
274	2.937954936
275	2.93787845
276	2.937849177
277	2.937829878
278	2.937803906
279	2.937716554
280	2.937694918
281	2.93765255
282	2.937612599
283	2.937584853
284	2.937553899
285	2.937505741
286	2.937440171
287	2.937382768
288	2.937362017
289	2.937299642
290	2.937280849
291	2.937235909
292	2.937221448
293	2.937177009
294	2.93715789
295	2.937121875
