iter	Passed	Remaining
0	138	138483
1	142	71122
2	149	49765
3	154	38506
4	161	32160
5	174	28928
6	178	25258
7	183	22726
8	187	20632
9	196	19480
10	210	18919
11	213	17567
12	218	16556
13	232	16352
14	237	15622
15	241	14866
16	244	14140
17	251	13725
18	255	13208
19	261	12836
20	268	12520
21	274	12185
22	279	11879
23	284	11581
24	289	11301
25	301	11310
26	306	11042
27	309	10755
28	312	10471
29	316	10240
30	319	10001
31	325	9859
32	340	9965
33	351	9993
34	356	9827
35	364	9754
36	372	9695
37	375	9510
38	382	9419
39	394	9472
40	403	9434
41	407	9287
42	410	9137
43	417	9081
44	434	9219
45	442	9184
46	451	9150
47	462	9173
48	468	9088
49	472	8977
50	480	8944
51	486	8876
52	495	8859
53	500	8771
54	506	8706
55	510	8604
56	517	8558
57	530	8611
58	539	8598
59	545	8551
60	550	8474
61	562	8509
62	569	8471
63	575	8416
64	579	8336
65	588	8322
66	599	8353
67	605	8295
68	612	8263
69	617	8208
70	622	8139
71	634	8183
72	641	8141
73	644	8065
74	651	8037
75	662	8059
76	672	8059
77	682	8062
78	695	8112
79	702	8081
80	706	8014
81	712	7975
82	718	7935
83	733	8003
84	741	7984
85	746	7929
86	750	7870
87	756	7840
88	763	7820
89	770	7786
90	776	7753
91	779	7688
92	786	7666
93	793	7651
94	797	7601
95	802	7560
96	809	7535
97	819	7546
98	831	7567
99	839	7557
100	848	7556
101	851	7500
102	863	7518
103	871	7505
104	876	7474
105	882	7438
106	890	7431
107	896	7405
108	900	7357
109	902	7301
110	906	7258
111	911	7225
112	917	7204
113	920	7157
114	928	7147
115	938	7150
116	945	7134
117	955	7139
118	967	7163
119	971	7123
120	978	7106
121	982	7070
122	992	7074
123	999	7063
124	1009	7064
125	1012	7021
126	1016	6990
127	1029	7015
128	1036	6998
129	1040	6964
130	1043	6920
131	1047	6890
132	1051	6852
133	1062	6863
134	1066	6832
135	1073	6816
136	1088	6855
137	1095	6840
138	1105	6845
139	1109	6815
140	1115	6797
141	1118	6760
142	1129	6769
143	1135	6749
144	1141	6730
145	1144	6694
146	1147	6655
147	1160	6678
148	1167	6668
149	1171	6636
150	1177	6619
151	1180	6584
152	1182	6547
153	1196	6572
154	1200	6546
155	1206	6526
156	1212	6511
157	1216	6484
158	1225	6479
159	1231	6465
160	1239	6457
161	1243	6431
162	1248	6409
163	1251	6380
164	1262	6391
165	1271	6389
